City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tuatapere,NZ,287.82,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
2,Leeton,AU,292.15,scattered clouds,-34.5667,146.4,Historic Hydro Motor Inn
3,Luderitz,,296.29,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
4,Cape Town,ZA,294.26,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
6,New Norfolk,AU,291.48,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
8,Sala,MA,286.48,scattered clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
9,Barmer,IN,286.43,clear sky,25.75,71.3833,OYO 71911 Hotel Amber Palace
11,Busselton,AU,288.15,broken clouds,-33.65,115.3333,Observatory Guest House
13,Esperance,AU,287.15,overcast clouds,-33.8667,121.9,Hospitality Esperance
14,Georgetown,MY,301.15,few clouds,5.4112,100.3354,Cititel Penang
16,Port Elizabeth,ZA,295.15,overcast clouds,-33.918,25.5701,39 On Nile Guest House
17,Veraval,IN,293.33,clear sky,20.9,70.3667,Lords Inn Somnath
19,Castro,BR,297.07,clear sky,-24.7911,-50.0119,CHACARA BAILLY
20,Hithadhoo,MV,301.18,overcast clouds,-0.6,73.0833,Scoop Guest House
21,Avarua,CK,302.15,few clouds,-21.2078,-159.775,Paradise Inn
22,Salalah,OM,296.15,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
24,Port Augusta,AU,291.15,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
25,Port Alfred,ZA,294.26,overcast clouds,-33.5906,26.891,The Halyards Hotel
26,Guerrero Negro,MX,293.44,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
27,Hermanus,ZA,294.26,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
29,Rikitea,PF,299.02,few clouds,-23.1203,-134.9692,Pension Maro'i
30,San Quintin,MX,289.66,clear sky,30.4833,-115.95,Old Mill Hotel
31,Coihaique,CL,303.15,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
32,Torata,PE,292.73,light rain,-17.0769,-70.8433,Lodging Sra. Tina Vera
34,Carutapera,BR,301.61,overcast clouds,-1.195,-46.02,Lidera
35,Rawson,AR,294.13,clear sky,-43.3002,-65.1023,Hosteria Sampedro
36,Varadero,CU,300.15,broken clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
37,El Alto,PE,301.15,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
38,Caraballeda,VE,305.15,scattered clouds,10.6112,-66.8522,Hotel 15 Letras
39,Cayenne,GF,300.15,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
40,Hobart,AU,291.48,moderate rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
41,Mahebourg,MU,300.15,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
43,Dwarka,IN,293.93,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
