City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bredasdorp,-34.5322,20.0403,80.6,41,0,12.66,ZA,2021-02-02 14:05:26
1,Vaini,-21.2,-175.2,78.8,94,40,19.57,TO,2021-02-02 14:05:26
2,Teguldet,57.3064,88.1667,4.59,93,100,6.78,RU,2021-02-02 14:05:26
3,Butaritari,3.0707,172.7902,81.64,82,62,18.61,KI,2021-02-02 14:05:27
4,Atuona,-9.8,-139.0333,77.72,78,2,13.71,PF,2021-02-02 14:05:27
5,Olinala,17.8333,-98.85,53.69,72,0,2.82,MX,2021-02-02 14:05:27
6,Dikson,73.5069,80.5464,-19.53,82,64,13.49,RU,2021-02-02 14:05:27
7,Price,39.5994,-110.8107,26.6,74,1,2.44,US,2021-02-02 14:05:27
8,Port Alfred,-33.5906,26.891,75.0,76,0,11.99,ZA,2021-02-02 14:05:28
9,Carroll,39.5501,-77.0164,30.2,93,90,8.05,US,2021-02-02 14:05:28
10,Tuktoyaktuk,69.4541,-133.0374,-26.03,86,100,7.76,CA,2021-02-02 14:05:28
11,Yar-Sale,66.8333,70.8333,11.12,96,100,11.03,RU,2021-02-02 14:05:28
12,Muros,42.7762,-9.0603,57.99,93,100,7.0,ES,2021-02-02 14:05:28
13,Anupgarh,29.1911,73.2086,66.78,25,0,6.71,IN,2021-02-02 14:05:28
14,Along,28.1667,94.7667,55.65,53,0,2.48,IN,2021-02-02 14:05:28
15,East London,-33.0153,27.9116,77.0,61,20,20.71,ZA,2021-02-02 14:05:29
16,Hermanus,-34.4187,19.2345,86.0,36,0,5.01,ZA,2021-02-02 14:05:29
17,Dubti,11.7361,41.0853,91.92,17,0,15.28,ET,2021-02-02 14:05:29
18,Kapaa,22.0752,-159.319,68.0,100,90,5.75,US,2021-02-02 14:05:29
19,Barrow,71.2906,-156.7887,-23.8,76,1,11.5,US,2021-02-02 14:05:29
20,Geraldton,-28.7667,114.6,75.2,78,40,18.41,AU,2021-02-02 14:01:06
21,Ventspils,57.3894,21.5606,24.8,93,90,10.36,LV,2021-02-02 14:03:11
22,Kavieng,-2.5744,150.7967,79.36,89,100,19.06,PG,2021-02-02 14:05:30
23,Bambous Virieux,-20.3428,57.7575,84.2,70,75,11.5,MU,2021-02-02 14:05:30
24,Bluff,-46.6,168.3333,57.92,91,47,4.27,NZ,2021-02-02 14:01:09
25,Batagay-Alyta,67.8006,130.4114,-21.41,85,100,4.54,RU,2021-02-02 14:05:30
26,Caravelas,-17.7125,-39.2481,84.67,59,95,6.11,BR,2021-02-02 14:05:30
27,Altagracia De Orituco,9.8601,-66.3814,79.56,55,10,6.93,VE,2021-02-02 14:05:31
28,Rikitea,-23.1203,-134.9692,77.23,76,91,14.99,PF,2021-02-02 14:05:31
29,Alofi,-19.0595,-169.9187,77.0,94,100,6.91,NU,2021-02-02 14:05:31
30,Cape Town,-33.9258,18.4232,87.8,27,0,12.66,ZA,2021-02-02 14:05:31
31,Bani,18.2833,-70.3333,82.4,74,40,11.5,DO,2021-02-02 14:05:31
32,Oyem,1.5995,11.5793,89.47,48,40,0.34,GA,2021-02-02 14:05:32
33,Albany,42.6001,-73.9662,28.0,87,99,1.01,US,2021-02-02 14:05:21
34,Carutapera,-1.195,-46.02,87.31,59,96,10.96,BR,2021-02-02 14:05:32
35,Tommot,58.9564,126.2925,-28.19,79,100,11.52,RU,2021-02-02 14:05:32
36,Punta Arenas,-53.15,-70.9167,57.2,67,75,14.97,CL,2021-02-02 14:05:32
37,San Cristobal,7.7669,-72.225,87.8,33,40,23.02,VE,2021-02-02 14:05:32
38,Saskylakh,71.9167,114.0833,-20.88,85,100,17.72,RU,2021-02-02 14:05:33
39,Burns Lake,54.2331,-125.7533,24.8,86,100,3.44,CA,2021-02-02 14:05:33
40,Haines Junction,60.7522,-137.5108,-11.2,64,100,8.05,CA,2021-02-02 14:05:33
41,Semnan,35.5729,53.3971,47.98,49,0,1.95,IR,2021-02-02 14:05:18
42,Narsaq,60.9167,-46.05,24.8,74,75,4.61,GL,2021-02-02 14:05:33
43,Mago,53.2514,140.1822,-30.12,82,97,7.09,RU,2021-02-02 14:05:34
44,Tarancon,40.0085,-3.0073,53.6,87,75,9.22,ES,2021-02-02 14:05:34
45,Hilo,19.7297,-155.09,64.4,72,20,4.61,US,2021-02-02 14:02:47
46,Clyde River,70.4692,-68.5914,-25.6,68,1,4.61,CA,2021-02-02 14:05:34
47,Ushuaia,-54.8,-68.3,53.6,66,75,27.63,AR,2021-02-02 14:04:01
48,Faanui,-16.4833,-151.75,80.74,77,2,13.2,PF,2021-02-02 14:05:34
49,Mahebourg,-20.4081,57.7,84.2,70,75,11.5,MU,2021-02-02 14:05:35
50,Bantry,51.6833,-9.45,51.8,87,75,13.8,IE,2021-02-02 14:05:35
51,Kenora,49.8167,-94.4337,15.8,92,90,13.8,CA,2021-02-02 14:05:35
